Timepoint,institution,category,value,mean_distance,std_distance,count,unique_respondents
1,TP_Researcher,ACES_Compound,3.0,3.75,1.312784923481051,48,48
1,TP_School,ACES_Compound,3.0,3.8958333333333335,1.3874756403203157,48,48
1,TP_Stranger,ACES_Compound,3.0,6.0625,1.4645636922000487,48,48
1,TP_Acquaintance,ACES_Compound,4.0,3.918918918918919,1.57018007421616,37,37
1,TP_Co_worker,ACES_Compound,4.0,3.6486486486486487,1.3584348881508255,37,37
1,TP_Company_cust,ACES_Compound,4.0,4.297297297297297,1.309471158412706,37,37
1,TP_Company_notcust,ACES_Compound,4.0,5.27027027027027,1.3259933100352574,37,37
1,TP_Employer,ACES_Compound,4.0,3.2162162162162162,1.0576476817062563,37,37
1,TP_Financial,ACES_Compound,4.0,3.675675675675676,1.3754606108107534,37,37
1,TP_Friend,ACES_Compound,4.0,1.972972972972973,0.7632709758549598,37,37
1,TP_Gov,ACES_Compound,4.0,4.216216216216216,1.4555475322429763,37,37
1,TP_Medical,ACES_Compound,4.0,2.324324324324324,1.0555160416185603,37,37
1,TP_Neighbor,ACES_Compound,4.0,4.378378378378378,1.4596679864375428,37,37
1,TP_NonProf,ACES_Compound,4.0,3.864864864864865,1.2284172780488758,37,37
1,TP_Platform,ACES_Compound,4.0,4.472222222222222,1.4439254256784302,36,36
1,TP_Police,ACES_Compound,4.0,4.756756756756757,1.516674091655917,37,37
1,TP_Relative,ACES_Compound,4.0,2.5135135135135136,1.282827208023608,37,37
1,TP_Researcher,ACES_Compound,4.0,3.324324324324324,1.179784680309035,37,37
1,TP_School,ACES_Compound,4.0,3.675675675675676,1.313478292635712,37,37
1,TP_Stranger,ACES_Compound,4.0,5.972972972972973,1.0404722882338493,37,37
1,TP_Acquaintance,ACES_Compound,5.0,4.3125,1.6932027297021959,32,32
1,TP_Co_worker,ACES_Compound,5.0,4.34375,1.7340866332490146,32,32
1,TP_Company_cust,ACES_Compound,5.0,4.90625,1.531589412679605,32,32
1,TP_Company_notcust,ACES_Compound,5.0,5.71875,1.4642927391086973,32,32
1,TP_Employer,ACES_Compound,5.0,3.8125,1.554130811947682,32,32
1,TP_Financial,ACES_Compound,5.0,4.0,1.7597653802562394,32,32
1,TP_Friend,ACES_Compound,5.0,2.1875,1.2296734420949118,32,32
1,TP_Gov,ACES_Compound,5.0,4.75,1.8837162994395398,32,32
1,TP_Medical,ACES_Compound,5.0,2.625,1.0701220913160239,32,32
1,TP_Neighbor,ACES_Compound,5.0,4.625,1.6214290789499601,32,32
1,TP_NonProf,ACES_Compound,5.0,4.21875,1.5602806819452752,32,32
1,TP_Platform,ACES_Compound,5.0,5.125,1.791557260975724,32,32
1,TP_Police,ACES_Compound,5.0,5.0,1.8316218795585015,32,32
1,TP_Relative,ACES_Compound,5.0,2.625,1.6014106684521172,32,32
1,TP_Researcher,ACES_Compound,5.0,3.78125,1.5183687129242016,32,32
1,TP_School,ACES_Compound,5.0,3.8125,1.574750364241082,32,32
1,TP_Stranger,ACES_Compound,5.0,5.96875,1.5960510744515868,32,32
1,TP_Acquaintance,ACES_Compound,6.0,4.181818181818182,1.2203186015043321,22,22
1,TP_Co_worker,ACES_Compound,6.0,3.9545454545454546,1.290155868297379,22,22
1,TP_Company_cust,ACES_Compound,6.0,4.2272727272727275,1.477830397570264,22,22
1,TP_Company_notcust,ACES_Compound,6.0,4.636363636363637,1.4653279998642443,22,22
1,TP_Employer,ACES_Compound,6.0,3.8181818181818183,1.4354811251305466,22,22
1,TP_Financial,ACES_Compound,6.0,4.2727272727272725,1.4534628005401833,22,22
1,TP_Friend,ACES_Compound,6.0,2.590909090909091,1.3330627431056188,22,22
1,TP_Gov,ACES_Compound,6.0,4.909090909090909,1.6008655667389948,22,22
1,TP_Medical,ACES_Compound,6.0,3.590909090909091,1.7087754152940695,22,22
1,TP_Neighbor,ACES_Compound,6.0,4.363636363636363,1.3988244910316507,22,22
1,TP_NonProf,ACES_Compound,6.0,4.136363636363637,1.4571810537392476,22,22
1,TP_Platform,ACES_Compound,6.0,4.454545454545454,1.438493680647944,22,22
1,TP_Police,ACES_Compound,6.0,5.090909090909091,1.540225429050687,22,22
1,TP_Relative,ACES_Compound,6.0,2.8636363636363638,1.4571810537392476,22,22
1,TP_Researcher,ACES_Compound,6.0,3.727272727272727,1.3516063875403321,22,22
1,TP_School,ACES_Compound,6.0,4.181818181818182,1.4019158196439492,22,22
1,TP_Stranger,ACES_Compound,6.0,5.818181818181818,1.5625487005397438,22,22
1,TP_Acquaintance,ACES_Compound,7.0,4.466666666666667,1.3020130933435712,15,15
1,TP_Co_worker,ACES_Compound,7.0,3.933333333333333,1.4375905768565214,15,15
1,TP_Company_cust,ACES_Compound,7.0,5.066666666666666,1.6242214252050853,15,15
1,TP_Company_notcust,ACES_Compound,7.0,6.0,0.8770580193070291,14,14
1,TP_Employer,ACES_Compound,7.0,4.266666666666667,1.533747356112131,15,15
1,TP_Financial,ACES_Compound,7.0,4.4,1.7647338933351153,15,15
1,TP_Friend,ACES_Compound,7.0,2.066666666666667,1.2227992865708155,15,15
1,TP_Gov,ACES_Compound,7.0,5.0,1.5583874449479589,15,15
1,TP_Medical,ACES_Compound,7.0,3.2666666666666666,1.7511900715418263,15,15
1,TP_Neighbor,ACES_Compound,7.0,4.8,1.5212776585113297,15,15
1,TP_NonProf,ACES_Compound,7.0,4.466666666666667,1.3557637102737476,15,15
1,TP_Platform,ACES_Compound,7.0,4.6,1.4040757000349275,15,15
1,TP_Police,ACES_Compound,7.0,5.133333333333334,1.7674302033770735,15,15
1,TP_Relative,ACES_Compound,7.0,3.2,1.6561573424216502,15,15
1,TP_Researcher,ACES_Compound,7.0,3.1333333333333333,1.5976172734359606,15,15
1,TP_School,ACES_Compound,7.0,3.933333333333333,1.6676187756655838,15,15
1,TP_Stranger,ACES_Compound,7.0,6.266666666666667,0.8837151016885364,15,15
1,TP_Acquaintance,ACES_Compound,8.0,5.0,1.6733200530681511,6,6
1,TP_Co_worker,ACES_Compound,8.0,5.0,1.6733200530681511,6,6
1,TP_Company_cust,ACES_Compound,8.0,5.666666666666667,1.2110601416389966,6,6
1,TP_Company_notcust,ACES_Compound,8.0,6.0,1.2649110640673518,6,6
1,TP_Employer,ACES_Compound,8.0,4.333333333333333,1.751190071541826,6,6
