Timepoint,institution,distance,category,value
1,TP_Gov,4.909090909090909,ACES_Compound,6.0
1,TP_Medical,3.590909090909091,ACES_Compound,6.0
1,TP_Neighbor,4.363636363636363,ACES_Compound,6.0
1,TP_NonProf,4.136363636363637,ACES_Compound,6.0
1,TP_Platform,4.454545454545454,ACES_Compound,6.0
1,TP_Police,5.090909090909091,ACES_Compound,6.0
1,TP_Relative,2.8636363636363638,ACES_Compound,6.0
1,TP_Researcher,3.727272727272727,ACES_Compound,6.0
1,TP_School,4.181818181818182,ACES_Compound,6.0
1,TP_Stranger,5.818181818181818,ACES_Compound,6.0
1,TP_Acquaintance,4.466666666666667,ACES_Compound,7.0
1,TP_Co_worker,3.933333333333333,ACES_Compound,7.0
1,TP_Company_cust,5.066666666666666,ACES_Compound,7.0
1,TP_Company_notcust,6.0,ACES_Compound,7.0
1,TP_Employer,4.266666666666667,ACES_Compound,7.0
1,TP_Financial,4.4,ACES_Compound,7.0
1,TP_Friend,2.066666666666667,ACES_Compound,7.0
1,TP_Gov,5.0,ACES_Compound,7.0
1,TP_Medical,3.2666666666666666,ACES_Compound,7.0
1,TP_Neighbor,4.8,ACES_Compound,7.0
1,TP_NonProf,4.466666666666667,ACES_Compound,7.0
1,TP_Platform,4.6,ACES_Compound,7.0
1,TP_Police,5.133333333333334,ACES_Compound,7.0
1,TP_Relative,3.2,ACES_Compound,7.0
1,TP_Researcher,3.1333333333333333,ACES_Compound,7.0
1,TP_School,3.933333333333333,ACES_Compound,7.0
1,TP_Stranger,6.266666666666667,ACES_Compound,7.0
1,TP_Acquaintance,5.0,ACES_Compound,8.0
1,TP_Co_worker,5.0,ACES_Compound,8.0
1,TP_Company_cust,5.666666666666667,ACES_Compound,8.0
1,TP_Company_notcust,6.0,ACES_Compound,8.0
1,TP_Employer,4.333333333333333,ACES_Compound,8.0
1,TP_Financial,4.166666666666667,ACES_Compound,8.0
1,TP_Friend,2.8333333333333335,ACES_Compound,8.0
1,TP_Gov,5.0,ACES_Compound,8.0
1,TP_Medical,3.1666666666666665,ACES_Compound,8.0
1,TP_Neighbor,5.0,ACES_Compound,8.0
1,TP_NonProf,4.666666666666667,ACES_Compound,8.0
1,TP_Platform,5.333333333333333,ACES_Compound,8.0
1,TP_Police,5.666666666666667,ACES_Compound,8.0
1,TP_Relative,4.833333333333333,ACES_Compound,8.0
1,TP_Researcher,3.5,ACES_Compound,8.0
1,TP_School,4.166666666666667,ACES_Compound,8.0
1,TP_Stranger,5.833333333333333,ACES_Compound,8.0
1,TP_Acquaintance,5.5,ACES_Compound,9.0
1,TP_Co_worker,4.75,ACES_Compound,9.0
1,TP_Company_cust,5.0,ACES_Compound,9.0
1,TP_Company_notcust,6.25,ACES_Compound,9.0
1,TP_Employer,4.0,ACES_Compound,9.0
1,TP_Financial,4.0,ACES_Compound,9.0
1,TP_Friend,1.5,ACES_Compound,9.0
1,TP_Gov,4.5,ACES_Compound,9.0
1,TP_Medical,3.5,ACES_Compound,9.0
1,TP_Neighbor,5.25,ACES_Compound,9.0
1,TP_NonProf,3.75,ACES_Compound,9.0
1,TP_Platform,4.25,ACES_Compound,9.0
1,TP_Police,4.5,ACES_Compound,9.0
1,TP_Relative,5.25,ACES_Compound,9.0
1,TP_Researcher,3.75,ACES_Compound,9.0
1,TP_School,4.75,ACES_Compound,9.0
1,TP_Stranger,6.5,ACES_Compound,9.0
1,TP_Acquaintance,4.0,ACES_Compound,10.0
1,TP_Co_worker,2.0,ACES_Compound,10.0
1,TP_Company_cust,2.0,ACES_Compound,10.0
1,TP_Company_notcust,2.0,ACES_Compound,10.0
1,TP_Employer,2.0,ACES_Compound,10.0
1,TP_Financial,3.0,ACES_Compound,10.0
1,TP_Friend,1.0,ACES_Compound,10.0
1,TP_Gov,7.0,ACES_Compound,10.0
1,TP_Medical,1.0,ACES_Compound,10.0
1,TP_Neighbor,4.0,ACES_Compound,10.0
1,TP_NonProf,2.0,ACES_Compound,10.0
1,TP_Platform,2.0,ACES_Compound,10.0
1,TP_Police,5.0,ACES_Compound,10.0
1,TP_Relative,3.0,ACES_Compound,10.0
1,TP_Researcher,2.0,ACES_Compound,10.0
1,TP_School,2.0,ACES_Compound,10.0
1,TP_Stranger,4.0,ACES_Compound,10.0
1,TP_Acquaintance,3.0,ACES_Compound,12.0
